Player,Team,Pos,Age,GP,MPG,MIN%,USG%,Tor,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year, Salary 
Kevin Durant,Okc,SF,26,27,33.8,70.4,29.5,0.12,171,0.854,308,0.565,159,0.403,0.633,25.4,6.6,10.5,4.1,22.2,0.89,0.93,10.4,2015," $18,995,624.00 "
Andrew Bogut,Gol,C,30,67,23.6,49.2,13.4,0.221,42,0.524,355,0.563,0,0,0.565,6.3,8.1,18.5,2.7,15.4,0.58,1.69,8.8,2015," $12,972,973.00 "
Leandro Barbosa,Gol,SG,32,66,14.9,31,20.8,0.095,74,0.784,274,0.511,112,0.384,0.558,7.1,1.4,5,1.5,14.9,0.62,0.12,6.6,2015," $2,500,000.00 "
Marreese Speights,Gol,PF,27,76,15.9,33.1,29.5,0.102,178,0.843,628,0.498,18,0.278,0.546,10.4,4.3,14.5,1,10.1,0.26,0.45,8.9,2015," $3,650,000.00 "
Harrison Barnes,Gol,SF,22,82,28.3,58.9,15.1,0.09,150,0.72,441,0.519,215,0.405,0.573,10.1,5.5,10.5,1.4,6.9,0.74,0.23,6,2015," $3,040,000.00 "
Stephen Curry,Gol,PG,26,80,32.7,68.1,29.4,0.143,337,0.914,695,0.528,646,0.443,0.638,23.8,4.3,7,7.7,38.6,2.04,0.2,11.3,2015," $10,629,213.00 "
Klay Thompson,Gol,SG,24,77,31.9,66.4,28.1,0.095,256,0.879,754,0.481,545,0.439,0.591,21.7,3.2,5.4,2.9,14.6,1.13,0.78,7.3,2015," $3,070,000.00 "
Two Player Combined,Gol,SF,26,74.5,25.95,54.05,14.25,0.1555,192,0.622,796,0.541,215,0.2025,0.569,16.4,13.6,14.5,4.1,11.15,1.32,1.92,7.4,2015," $16,012,973.00 "
Kevin Durant,Okc,SF,27,72,35.8,74.6,30.6,0.135,498,0.898,900,0.569,481,0.387,0.634,28.2,8.2,12.4,5,24.2,0.96,1.18,11.7,2016," $20,158,622.00 "
Andrew Bogut,Gol,C,31,70,20.7,43.2,11.4,0.216,50,0.48,278,0.626,1,1,0.623,5.4,7,18.3,2.3,14.7,0.46,1.63,8.6,2016," $12,000,000.00 "
